dataset,stage,split,keep_rate_pct,trades,wins,losses,win_rate_pct,avg_pnl_points,profit_factor
momentum,0,in_sample_all,100.0,1087,645,442,59.337626494940196,0.8422861085556532,1.1801295148456108
momentum,1,in_sample_all,20.055197792088318,218,154,64,70.64220183486239,1.1970871559633023,1.491547451992352
mean_reversion,0,in_sample_all,100.0,831,393,438,47.292418772563174,0.08355595667869838,1.0126322626186175
mean_reversion,1,in_sample_all,20.09626955475331,167,103,64,61.67664670658682,2.8870359281437126,1.6411412309922275
naked_long_4bar,0,in_sample_all,100.0,69751,36262,33489,51.98778512136026,0.14102744046680338,1.0838169140551577
naked_long_4bar,1,in_sample_all,10.001290304081662,6976,3849,3127,55.174885321100916,0.24607110091742848,1.1427568127276517
naked_long_4bar,2,in_sample_all,3.000673825464868,2093,1212,881,57.90731008122313,0.36706545628284454,1.250697007826325
naked_short_4bar,0,in_sample_all,100.0,69751,33437,36314,47.93766397614371,-0.14102744046680338,0.9226650618123754
naked_short_4bar,1,in_sample_all,10.001290304081662,6976,3567,3409,51.132454128440365,-0.09693807339449291,0.9487376968653172
naked_short_4bar,2,in_sample_all,3.000673825464868,2093,1131,962,54.037267080745345,0.021403726708073122,1.013089051892518
