market,symbol,phase,side,signal_index,entry_index,exit_index,signal_time,entry_time,exit_time,entry_price,exit_price,gross_units,net_units,r_multiple,tp_units,sl_units,cost_units,exit_reason,bars_held,strategy,variant_id,period,source
futures,GC,,short,2948,2949,2954,2023-12-13 06:00:00+00:00,2023-12-13 06:15:00+00:00,2023-12-13 07:30:00+00:00,1991.8,1994.7044322082768,-29.04432208276596,-32.04432208276596,-1.0,58.08864416553192,29.04432208276596,3.0,sl,5,squeeze_breakout,strategy=squeeze_breakout|lookback=55|threshold=0.25|adx_min=None|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,train,new_gc_squeeze
futures,GC,,long,3143,3144,3162,2023-12-15 08:45:00+00:00,2023-12-15 09:00:00+00:00,2023-12-15 13:30:00+00:00,2054.7,2050.973785924702,-37.26214075297621,-40.26214075297621,-1.0,74.52428150595242,37.26214075297621,3.0,sl,18,squeeze_breakout,strategy=squeeze_breakout|lookback=55|threshold=0.25|adx_min=None|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,train,new_gc_squeeze
futures,SI,momentum,long,3154,3155,3344,2023-12-15 13:30:00+00:00,2023-12-15 13:45:00+00:00,2023-12-19 15:00:00+00:00,24.145,24.44,59.00000000000034,56.00000000000034,0.1113320079522869,500.0,500.0,3.0,signal,189,momentum,legacy_SI_momentum,train,balanced
futures,ZN,mean_reversion,short,3342,3343,3576,2023-12-19 14:15:00+00:00,2023-12-19 14:30:00+00:00,2023-12-22 03:45:00+00:00,112.40625,112.59375,-12.0,-15.0,-0.2830188679245283,15.0,50.0,3.0,signal,233,mean_reversion,legacy_ZN_mean_reversion,train,balanced
futures,CL,momentum,long,3468,3469,3577,2023-12-20 20:45:00+00:00,2023-12-20 21:00:00+00:00,2023-12-22 02:00:00+00:00,73.76,74.41,64.99999999999915,61.99999999999915,0.2046204620462018,500.0,300.0,3.0,signal,108,momentum,legacy_CL_momentum,train,balanced
futures,ZN,mean_reversion,short,3622,3623,3632,2023-12-22 15:15:00+00:00,2023-12-22 15:30:00+00:00,2023-12-22 17:45:00+00:00,112.703125,112.53125,11.0,8.0,0.1509433962264151,15.0,50.0,3.0,signal,9,mean_reversion,legacy_ZN_mean_reversion,train,balanced
futures,SI,momentum,long,3623,3624,4811,2023-12-22 15:45:00+00:00,2023-12-22 16:00:00+00:00,2024-01-12 13:45:00+00:00,24.67,23.485,-237.00000000000043,-240.00000000000043,-0.4771371769383707,500.0,500.0,3.0,signal,1187,momentum,legacy_SI_momentum,train,balanced
futures,CL,momentum,short,3710,3711,3879,2023-12-26 12:15:00+00:00,2023-12-26 12:30:00+00:00,2023-12-28 08:30:00+00:00,73.99,73.58,40.99999999999966,37.99999999999966,0.1254125412541243,500.0,300.0,3.0,signal,168,momentum,legacy_CL_momentum,train,balanced
futures,ZN,mean_reversion,long,3750,3751,3762,2023-12-27 01:15:00+00:00,2023-12-27 01:30:00+00:00,2023-12-27 04:15:00+00:00,112.703125,112.71875,1.0,-2.0,-0.0377358490566037,15.0,50.0,3.0,signal,11,mean_reversion,legacy_ZN_mean_reversion,train,balanced
futures,ZN,mean_reversion,short,3904,3905,3920,2023-12-28 16:45:00+00:00,2023-12-28 17:00:00+00:00,2023-12-28 20:45:00+00:00,113.015625,112.96875,3.0,0.0,0.0,15.0,50.0,3.0,signal,15,mean_reversion,legacy_ZN_mean_reversion,train,balanced
futures,YM,mean_reversion,long,4001,4002,4021,2023-12-29 18:00:00+00:00,2023-12-29 18:15:00+00:00,2024-01-02 00:00:00+00:00,37954.0,38025.0,71.0,68.0,0.1351888667992047,500.0,500.0,3.0,signal,19,mean_reversion,legacy_YM_mean_reversion,train,balanced
futures,GC,,long,4237,4238,4260,2024-01-04 06:15:00+00:00,2024-01-04 06:30:00+00:00,2024-01-04 12:00:00+00:00,2054.2,2050.667858166717,-35.321418332822915,-38.32141833282292,-1.0,70.64283666564583,35.321418332822915,3.0,sl,22,squeeze_breakout,strategy=squeeze_breakout|lookback=55|threshold=0.25|adx_min=None|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,train,new_gc_squeeze
futures,ZN,mean_reversion,short,4240,4241,4248,2024-01-04 08:45:00+00:00,2024-01-04 09:00:00+00:00,2024-01-04 10:45:00+00:00,112.40625,112.234375,11.0,8.0,0.1509433962264151,15.0,50.0,3.0,signal,7,mean_reversion,legacy_ZN_mean_reversion,train,balanced
futures,CL,momentum,long,4644,4645,4737,2024-01-10 15:45:00+00:00,2024-01-10 16:00:00+00:00,2024-01-11 16:00:00+00:00,72.21,73.68,147.0000000000013,144.0000000000013,0.4752475247524795,500.0,300.0,3.0,signal,92,momentum,legacy_CL_momentum,train,balanced
futures,GC,,long,4787,4788,4807,2024-01-12 05:45:00+00:00,2024-01-12 06:00:00+00:00,2024-01-12 10:45:00+00:00,2040.0,2047.1366142503216,71.36614250321519,68.36614250321519,1.767340086792463,71.36614250321519,35.68307125160759,3.0,tp,19,squeeze_breakout,strategy=squeeze_breakout|lookback=55|threshold=0.25|adx_min=None|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,train,new_gc_squeeze
futures,ES,mean_reversion,short,4839,4840,4928,2024-01-12 20:15:00+00:00,2024-01-12 20:30:00+00:00,2024-01-16 00:30:00+00:00,4812.0,4804.5,30.0,27.0,0.0536779324055666,500.0,500.0,3.0,signal,88,mean_reversion,legacy_ES_mean_reversion,train,balanced
